doi,unique_id
10.1021/acsaem.7b00143,WOS:000458705100044
10.1021/acssuschemeng.3c03918,WOS:001108319300001
10.1016/j.electacta.2018.11.024,WOS:000454822400047
10.1039/d2ta05953c,WOS:000852664500001
10.1016/j.cej.2021.130768,WOS:000709293900002
10.1016/j.ijhydene.2021.06.080,WOS:000683066600015
10.1039/d3ra03012a,WOS:001042019100001
10.1039/d3ta07125a,WOS:001148867000001
10.1039/d1qi00857a,WOS:000721887500001
10.1002/admi.202102154,WOS:000751758000001
10.1039/d3cy01013a,WOS:001071875700001
10.1021/acs.inorgchem.1c00595,WOS:000648429200068
10.1039/d1ce01037a,WOS:000698789900001
10.1016/j.ijhydene.2021.12.256,WOS:000768763300013
10.1021/acsaem.1c01756,WOS:000688250200117
10.1016/j.gce.2024.04.002,WOS:001379023400001
10.1021/acs.langmuir.9b03810,WOS:000518234900008
10.1039/d1dt03947d,WOS:000747401000001
10.1016/j.jssc.2022.123049,WOS:000794037600013
10.1016/j.jechem.2020.08.064,WOS:000643326200008
10.1002/admi.201801302,WOS:000454229900026
10.1016/j.jallcom.2021.159218,WOS:000636039600106
10.1016/j.electacta.2021.138292,WOS:000641342200009
10.1021/acsanm.4c04935,WOS:001330131400001
10.1039/d4se01191k,WOS:001330661300001
10.1021/acs.energyfuels.3c03013,WOS:001129014900001
10.1021/acsami.1c05123,WOS:000662086600045
10.1002/adfm.202304380,WOS:001067107700001
10.1016/j.jcis.2024.01.151,WOS:001175070800001
10.1021/acs.energyfuels.4c00037,WOS:001201280900001
10.1039/d3ra04279k,WOS:001058348000001
10.1016/j.cej.2021.129751,WOS:000664193500001
10.1039/c7ta10558d,WOS:000431506600037
10.1021/acsanm.3c05126,WOS:001143387500001
10.3390/nano15040294,WOS:001429971800001
10.1088/1361-6463/ad5f39,WOS:001268489800001
10.1039/c6ra17030g,WOS:000381490100051
10.1016/j.fuel.2022.125881,WOS:000856095700002
10.1021/acssuschemeng.0c02421,WOS:000548456600023
10.1016/j.electacta.2020.136710,WOS:000566959300009
10.1016/j.cej.2021.132478,WOS:000728683100003
10.1016/j.elecom.2018.07.016,WOS:000439858800042
10.1039/c8ta09609k,WOS:000451813300010
10.1016/j.poly.2022.116035,WOS:000844304400008
10.1021/acs.cgd.1c00021,WOS:000672584000001
10.1021/acsami.3c05781,WOS:001039185400001
10.1021/acsami.7b17939,WOS:000426143900031
10.1016/j.jssc.2017.05.042,WOS:000406572600030
10.1021/acs.energyfuels.1c04165,WOS:000797927200033
10.3866/PKU.WHXB201905030,WOS:000489307000021
10.1021/acs.inorgchem.5c00013,WOS:001445703500001
10.1002/anie.202112775,WOS:000714103600001
10.1016/j.ijhydene.2021.08.056,WOS:000709551500002
10.1016/j.ceramint.2022.10.246,WOS:000964436000001
10.1007/s10904-024-03475-9,WOS:001350907400002
10.1039/c8ta08577c,WOS:000452482900034
10.1016/j.ijhydene.2024.11.474,WOS:001373708100001
10.1016/j.ijhydene.2022.11.348,WOS:000999318300001
10.1016/j.ijhydene.2022.06.071,WOS:000862762400005
10.1016/j.jallcom.2024.174332,WOS:001221021800001
10.1016/j.ijhydene.2024.06.381,WOS:001274165100001
10.1002/apj.2778,WOS:000784540800001
10.1016/j.jallcom.2024.177834,WOS:001373800000001
10.1039/c7nr09475b,WOS:000435358600030
10.1002/celc.202001356,WOS:000591725400001
10.1016/j.mtchem.2022.101359,WOS:000963172100001
10.1016/j.cej.2022.140464,WOS:000919148200001
10.1002/smll.202309859,WOS:001166366800001
10.1016/j.cej.2023.144348,WOS:001030465100001
10.1016/j.jcis.2023.11.065,WOS:001115034700001
10.1016/j.cej.2023.143220,WOS:000998429900001
10.1002/smll.202307241,WOS:001130100800001
10.1016/j.cej.2023.143717,WOS:001012597500001
10.1016/j.seppur.2024.128552,WOS:001261336900001
10.1002/tcr.201700025,WOS:000417501800002
10.1021/acsami.3c17789,WOS:001166763500001
10.1002/cssc.202201947,WOS:000883112900001
10.1021/acs.accounts.4c00048,WOS:001203574300001
10.1016/j.jcis.2023.05.089,WOS:001013175900001
10.1039/d4qi02061h,WOS:001338674000001
10.1002/cssc.202300218,WOS:001007576100001
10.1016/j.jelechem.2023.117365,WOS:000962168100001
10.1039/d0ta02507k,WOS:000539350100032
10.1016/j.electacta.2018.07.163,WOS:000442485100078
10.1016/j.jcis.2022.10.109,WOS:000893818200001
10.1016/j.electacta.2024.144534,WOS:001261127400001
10.1002/smll.202304399,WOS:001093839500001
10.1039/d2ta09788e,WOS:000986976800001
10.1016/j.est.2023.107996,WOS:001024819200001
10.1016/j.jallcom.2023.169091,WOS:000931878300001
10.1039/c9qi01368g,WOS:000511447700009
10.1016/j.ijhydene.2018.09.057,WOS:000450539500020
10.1039/d2se00665k,WOS:000827760300001
10.1016/j.ijhydene.2021.11.184,WOS:000746613700008
10.1002/cssc.201902582,WOS:000492169000001
10.1016/j.nanoen.2018.03.034,WOS:000432604600009
10.1002/smll.202402954,WOS:001307406200001
10.1021/acsami.3c16507,WOS:001160939700001
10.1016/j.mtphys.2024.101601,WOS:001364059000001
10.1016/j.mtchem.2023.101857,WOS:001165888000001
10.1021/acs.inorgchem.9b01621,WOS:000492117900033
10.1016/j.cej.2020.126529,WOS:000600981900004
10.1021/acs.energyfuels.4c04146,WOS:001378691500001
10.1016/j.ccr.2019.213081,WOS:000496606100004
10.1002/smll.202206768,WOS:000916704100001
10.1039/c8nr00348c,WOS:000432096400050
10.1016/j.cej.2021.132825,WOS:000724574400001
10.1007/s12274-023-5389-4,WOS:000911996400006
10.1016/j.susmat.2022.e00508,WOS:000877301900005
10.1021/acsanm.4c06502,WOS:001386275900001
10.1021/acs.inorgchem.4c02876,WOS:001319878100001
10.1039/c4dt01685h,WOS:000344250800044
10.3390/catal12010002,WOS:000747792200001
10.1021/acsaem.2c04146,WOS:000959212000001
10.1016/j.jcis.2024.09.038,WOS:001316095100001
10.1016/j.cap.2022.05.020,WOS:000870525300001
10.1002/anie.202313845,WOS:001089493500001
10.1016/j.ijoes.2024.100856,WOS:001349604300001
10.1039/c8ee00976g,WOS:000438392400025
10.1016/j.gee.2022.12.003,WOS:001249380400001
10.1002/cey2.80,WOS:000669753200004
10.1039/d4dt02125h,WOS:001335493300001
10.1021/acs.inorgchem.9b03011,WOS:000509420100040
10.1016/j.joule.2017.07.011,WOS:000425180300020
10.1039/c8nr01526k,WOS:000439319000045
10.1016/j.cej.2020.127352,WOS:000613252200002
10.1016/j.jpowsour.2020.228354,WOS:000540455700020
10.1002/celc.201700883,WOS:000419269000012
10.1016/j.nanoen.2020.105467,WOS:000618009100003
10.1039/c9ta03606g,WOS:000473054500011
10.1039/d0gc01736a,WOS:000589891500017
10.1021/acsaem.3c02392,WOS:001138377300001
10.1016/j.colsurfa.2022.130146,WOS:000860195400001
10.1016/j.cej.2024.149111,WOS:001196929200001
10.1039/d3mh00788j,WOS:001093500800001
10.1016/j.cclet.2024.110232,WOS:001348585400001
10.1016/j.diamond.2024.111362,WOS:001346767300001
10.1002/adfm.202212811,WOS:000908460900001
10.1016/j.apcata.2022.118745,WOS:000822713800005
10.1039/d1ta05243h,WOS:000691873900001
10.1021/jacs.4c09585,WOS:001335269400001
10.1016/j.apcatb.2019.01.094,WOS:000460715100010
10.3390/ma16113997,WOS:001003562100001
10.1002/smll.201803638,WOS:000453859100019
10.1007/s12678-024-00911-9,WOS:001347445700001
10.1016/j.jcis.2024.02.012,WOS:001183968600001
10.1039/d2dt02511f,WOS:000907103000001
10.1016/j.ijhydene.2024.03.330,WOS:001222106500001
10.1002/ente.202100264,WOS:000700955500001
10.1002/adma.202305573,WOS:001084218100001
10.1016/j.electacta.2021.138276,WOS:000641341500010
10.1016/j.jallcom.2023.169325,WOS:000948487100001
10.1021/acs.analchem.2c04931,WOS:000907779600001
10.1016/j.cej.2022.137420,WOS:000817886300007
10.1038/s41467-018-04358-7,WOS:000432665900009
10.1016/j.ijhydene.2024.10.206,WOS:001338782100001
10.1016/j.ijhydene.2023.04.132,WOS:001066563900001
10.1016/j.cej.2023.147831,WOS:001135335800001
10.1021/jacs.7b03507,WOS:000404090100044
10.1016/j.electacta.2018.05.182,WOS:000439134600022
10.1039/d2ta06481b,WOS:000870365300001
10.1016/j.matlet.2021.129364,WOS:000620291900019
10.1016/j.jallcom.2021.161780,WOS:000705053200004
10.1016/j.jcis.2023.01.074,WOS:000925669600001
10.1039/c9dt00538b,WOS:000465328200011
10.1016/j.fuel.2023.130651,WOS:001138319600001
10.1016/j.jcis.2021.12.066,WOS:000750623600006
10.1016/j.cej.2024.151086,WOS:001286020600001
10.1016/j.ijhydene.2022.10.252,WOS:000925637400001
10.1021/acscatal.7b01781,WOS:000407309100032
10.1039/d1ta06263h,WOS:000707139000001
10.1021/acscatal.4c04393,WOS:001390419800001
10.1002/sstr.202000096,WOS:000705456800006
10.1002/smtd.202000719,WOS:000584205200001
10.1038/s41467-020-18064-w,WOS:000567537300005
10.1016/j.jcis.2019.05.103,WOS:000481566500068
10.1088/2515-7655/acbb2a,WOS:000942478200001
10.1016/j.ijhydene.2018.03.032,WOS:000431747600009
10.1002/celc.202000023,WOS:000514289900021
10.1016/j.jelechem.2022.116452,WOS:000879477600001
10.1002/cssc.202301703,WOS:001144559500001
10.1016/j.cej.2023.141457,WOS:000922556600001
10.1007/s42864-020-00065-3,WOS:000879799800006
10.3762/bjnano.14.34,WOS:000961703300001
10.1016/j.ijhydene.2022.06.206,WOS:000862874100013
10.1016/j.ijhydene.2022.09.305,WOS:000915016500001
10.1016/j.colsurfa.2024.135711,WOS:001356137300001
10.1021/acssuschemeng.4c03545,WOS:001300712700001
10.1002/aenm.201903891,WOS:000532297600003
10.1016/j.electacta.2021.139218,WOS:000697727000008
10.1007/s12274-016-1398-x,WOS:000401320700023
10.1021/acssuschemeng.9b01078,WOS:000467351200101
10.1016/j.cjsc.2023.100206,WOS:001222230800001
10.1016/j.ijhydene.2025.01.170,WOS:001399768200001
10.1021/acscentsci.8b00426,WOS:000445724800025
10.1016/j.catcom.2023.106607,WOS:000919647400001
10.1002/adfm.202004375,WOS:000566516400001
10.1021/acsami.4c00798,WOS:001255935300001
10.1002/adsu.202400571,WOS:001324467000001
10.1016/j.jallcom.2024.175584,WOS:001275646600001
